,0
Array System,119.81010899777947
Export System,126.32423101563334
Substructure,1267.3571614999998
Mooring System,689.0318508205083
Offshore Substation,165.7985
Array System Installation,50.39122044319276
Export System Installation,190.76978591036053
Substructure Installation,145.310573630137
Mooring System Installation,150.9613910632747
Offshore Substation Installation,12.678772271145903
Turbine,1300.0
Soft,799.5709541860228
Project,252.08333333333334
construction_insurance_capex,48.51198634999837
decomissioning_costs,94.8942757223741
construction_financing,206.9356478097033
procurement_contingency_costs,210.92850650920045
install_contingency_costs,189.7885514447482
project_completion_capex,48.51198634999837
